L	D	resultado	clockRate
256	1	15.420856	3392.5
256	2	19.254634	3392.5
256	10	19.640777	3392.5
256	50	21.634909	3392.5
256	90	20.166667	3392.5
768	1	16.210897	3392.5
768	2	9.043497	3392.5
768	10	19.767308	3392.5
768	50	17.806436	3392.5
768	90	20.590406	3392.5
2048	1	13.952029	3392.5
2048	2	16.184262	3392.5
2048	10	18.759305	3392.5
2048	50	19.556231	3392.5
2048	90	19.800714	3392.5
3072	1	12.287111	3392.5
3072	2	14.660481	3392.5
3072	10	18.785950	3392.5
3072	50	19.764698	3392.5
3072	90	19.658182	3392.5
8192	1	9.034917	3392.5
8192	2	11.408211	3392.5
8192	10	18.118425	3392.5
8192	50	19.121926	3392.5
8192	90	19.002733	3392.5
16384	1	9.056479	3392.5
16384	2	9.057255	3392.5
16384	10	15.650060	3392.5
16384	50	20.016772	3392.5
16384	90	19.268394	3392.5
32768	1	9.188740	3392.5
32768	2	9.212977	3392.5
32768	10	13.652604	3392.5
32768	50	20.812914	3392.5
32768	90	20.403110	3392.5
